GOTeDNA_ID,GOTeDNA_version,basisOfRecord,replicate,materialSampleID,eventID,recordedBy,target_gene,target_subfragment,scientificName,taxonID,kingdom,phylum,class,order,family,genus,occurrenceID,occurrenceStatus,quantificationCycle,concentrationUnit,concentration,pcr_primer_lod,thresholdQuantificationCycle,baselineValue
11,,MaterialSample,1,BOF-23-20,11-BOF-23-20-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-20-1-Cmae,,,copies/L,469.6710266,3.09,,
11,,MaterialSample,2,BOF-23-20,11-BOF-23-20-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-20-2-Cmae,,,copies/L,443.4351763,3.09,,
11,,MaterialSample,3,BOF-23-20,11-BOF-23-20-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-20-3-Cmae,,,copies/L,560.7710737,3.09,,
11,,MaterialSample,1,BOF-23-21,11-BOF-23-21-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-21-1-Cmae,,,copies/L,1258.02486,3.09,,
11,,MaterialSample,2,BOF-23-21,11-BOF-23-21-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-21-2-Cmae,,,copies/L,1190.461003,3.09,,
11,,MaterialSample,3,BOF-23-21,11-BOF-23-21-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-21-3-Cmae,,,copies/L,1171.310956,3.09,,
11,,MaterialSample,1,BOF-23-22,11-BOF-23-22-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-22-1-Cmae,,,copies/L,1775.159453,3.09,,
11,,MaterialSample,2,BOF-23-22,11-BOF-23-22-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-22-2-Cmae,,,copies/L,2802.913208,3.09,,
11,,MaterialSample,3,BOF-23-22,11-BOF-23-22-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-22-3-Cmae,,,copies/L,2881.576689,3.09,,
11,,MaterialSample,1,BOF-23-23,11-BOF-23-23-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-23-1-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,2,BOF-23-23,11-BOF-23-23-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-23-2-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,3,BOF-23-23,11-BOF-23-23-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-23-3-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,1,BOF-23-30,11-BOF-23-30-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-30-1-Cmae,,,copies/L,2259.296574,3.09,,
11,,MaterialSample,2,BOF-23-30,11-BOF-23-30-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-30-2-Cmae,,,copies/L,2105.773117,3.09,,
11,,MaterialSample,3,BOF-23-30,11-BOF-23-30-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-30-3-Cmae,,,copies/L,1829.843478,3.09,,
11,,MaterialSample,1,BOF-23-31,11-BOF-23-31-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-31-1-Cmae,,,copies/L,736.8499221,3.09,,
11,,MaterialSample,2,BOF-23-31,11-BOF-23-31-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-31-2-Cmae,,,copies/L,706.07547,3.09,,
11,,MaterialSample,3,BOF-23-31,11-BOF-23-31-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-31-3-Cmae,,,copies/L,655.17649,3.09,,
11,,MaterialSample,1,BOF-23-32,11-BOF-23-32-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-32-1-Cmae,,,copies/L,494.4617879,3.09,,
11,,MaterialSample,2,BOF-23-32,11-BOF-23-32-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-32-2-Cmae,,,copies/L,473.9768364,3.09,,
11,,MaterialSample,3,BOF-23-32,11-BOF-23-32-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-32-3-Cmae,,,copies/L,349.4464474,3.09,,
11,,MaterialSample,1,BOF-23-33,11-BOF-23-33-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-33-1-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,2,BOF-23-33,11-BOF-23-33-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-33-2-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,3,BOF-23-33,11-BOF-23-33-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-33-3-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,1,BOF-23-40,11-BOF-23-40-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-40-1-Cmae,,,copies/L,576.8482817,3.09,,
