longitude,latitude,Depth,Time,Salinity
-68.66000366,44.15000153,1.541375041,7/16/2023,29.81264305
-68.66000366,44.15000153,2.645668983,7/16/2023,29.81463242
-68.66000366,44.15000153,3.819494963,7/16/2023,29.85262871
-68.66000366,44.15000153,5.078224182,7/16/2023,29.92375946
-68.66000366,44.15000153,6.440614223,7/16/2023,29.96411324
-68.66000366,44.15000153,0.494024992,7/17/2023,30.01473999
-68.66000366,44.15000153,1.541375041,7/17/2023,30.01640511
-68.66000366,44.15000153,2.645668983,7/17/2023,30.01920319
-68.66000366,44.15000153,3.819494963,7/17/2023,30.02266693
-68.66000366,44.15000153,5.078224182,7/17/2023,30.02404976
-68.66000366,44.15000153,6.440614223,7/17/2023,30.02430344
-68.66000366,44.15000153,0.494024992,7/18/2023,29.95407867
-68.66000366,44.15000153,1.541375041,7/18/2023,29.95627785
-68.66000366,44.15000153,2.645668983,7/18/2023,29.96017265
-68.66000366,44.15000153,3.819494963,7/18/2023,29.96559715
-68.66000366,44.15000153,5.078224182,7/18/2023,29.989254
-68.66000366,44.15000153,6.440614223,7/18/2023,30.00137329
-68.66000366,44.15000153,0.494024992,7/19/2023,29.98208046
-68.66000366,44.15000153,1.541375041,7/19/2023,29.98828125
-68.66000366,44.15000153,2.645668983,7/19/2023,29.99991608
-68.66000366,44.15000153,3.819494963,7/19/2023,30.00564003
-68.66000366,44.15000153,5.078224182,7/19/2023,30.00613022
-68.66000366,44.15000153,6.440614223,7/19/2023,30.0056324
-68.66000366,44.15000153,0.494024992,7/20/2023,29.86938667
-68.66000366,44.15000153,1.541375041,7/20/2023,29.88736534
-68.66000366,44.15000153,2.645668983,7/20/2023,29.91806221
-68.66000366,44.15000153,3.819494963,7/20/2023,30.00431824
-68.66000366,44.15000153,5.078224182,7/20/2023,30.02847672
-68.66000366,44.15000153,6.440614223,7/20/2023,30.03386307
-68.66000366,44.15000153,0.494024992,7/21/2023,29.92976952
-68.66000366,44.15000153,1.541375041,7/21/2023,29.93602753
-68.66000366,44.15000153,2.645668983,7/21/2023,29.97090721
-68.66000366,44.15000153,3.819494963,7/21/2023,30.01081276
-68.66000366,44.15000153,5.078224182,7/21/2023,30.0289917
-68.66000366,44.15000153,6.440614223,7/21/2023,30.03069115
-68.66000366,44.15000153,0.494024992,7/22/2023,29.92756081
-68.66000366,44.15000153,1.541375041,7/22/2023,29.94312477
-68.66000366,44.15000153,2.645668983,7/22/2023,29.95850372
-68.66000366,44.15000153,3.819494963,7/22/2023,29.97745132
-68.66000366,44.15000153,5.078224182,7/22/2023,30.01118279
-68.66000366,44.15000153,6.440614223,7/22/2023,30.02942657
-68.66000366,44.15000153,0.494024992,7/23/2023,29.71790695
-68.66000366,44.15000153,1.541375041,7/23/2023,29.72887802
-68.66000366,44.15000153,2.645668983,7/23/2023,29.79431343
-68.66000366,44.15000153,3.819494963,7/23/2023,29.86953735
-68.66000366,44.15000153,5.078224182,7/23/2023,29.91700554
-68.66000366,44.15000153,6.440614223,7/23/2023,29.93738747
-68.66000366,44.15000153,0.494024992,7/24/2023,29.61576653
-68.66000366,44.15000153,1.541375041,7/24/2023,29.63969231
-68.66000366,44.15000153,2.645668983,7/24/2023,29.6978302
-68.66000366,44.15000153,3.819494963,7/24/2023,29.80002213
-68.66000366,44.15000153,5.078224182,7/24/2023,29.8832283
